index,zri_zscore,price_zscore,crime_zscore,neighbourhood_group,neighbourhood,latitude,longitude,zipcodes,price,ZRI,CMPLNT_NUM_count_sum
0,1.6805919087189052,2.4144783878054916,1.59448920995868,Manhattan,Lower East Side,40.71806,-73.99351,10002,250,121.86666666666666,4978
1,0.5286908112645218,2.0070814415445515,0.5675114334857225,Brooklyn,Williamsburg,40.71689,-73.95706,11211,226,101.5,3679
2,1.5128027144906895,1.820357841174954,0.6283869444852743,Manhattan,Hell's Kitchen,40.76213,-73.99376,10018,215,118.9,3756
3,0.5286908112645218,1.990106568783679,0.5675114334857225,Brooklyn,Williamsburg,40.71281,-73.95796,11211,225,101.5,3679
4,-0.381895489996472,1.5657347497618663,-0.4808123013896751,Manhattan,Harlem,40.80872,-73.94274,10037,200,85.4,2353
5,-0.42525674243747164,1.7185086046097189,-0.007248261276279043,Brooklyn,Bedford-Stuyvesant,40.68443,-73.93456,11221,209,84.63333333333334,2952
6,1.5128027144906895,1.888257332218444,0.6283869444852743,Manhattan,Theater District,40.76149,-73.98633000000002,10018,219,118.9,3756
7,0.5286908112645218,1.5657347497618663,0.5675114334857225,Brooklyn,Williamsburg,40.71808,-73.95839000000002,11211,200,101.5,3679
8,0.20065351018913274,1.7354834773705914,-1.2895869475265769,Brooklyn,Williamsburg,40.7213,-73.95676999999998,11222,210,95.7,1330
9,-1.2868259757216833,1.5657347497618663,-1.1417464208133798,Brooklyn,Bay Ridge,40.62987,-74.02655,11209,200,69.4,1517
10,1.2790290056783429,2.4144783878054916,-0.18196888375551198,Manhattan,East Village,40.72682,-73.97845,10009,250,114.76666666666667,2731
11,-0.1292690627315178,2.3975035150446193,1.0363319272874651,Brooklyn,Bushwick,40.69888,-73.93075,11206,249,89.86666666666666,4272
12,0.5154939083476957,0.716991111718241,0.0844603007490197,Brooklyn,Downtown Brooklyn,40.68967,-73.98664000000002,11201,150,101.26666666666667,3068
13,1.7333795203862092,2.2447296601967666,0.8797948990029036,Manhattan,Midtown,40.74822,-73.9873,10001,240,122.8,4074
14,0.5286908112645218,1.0225388214139461,0.5675114334857225,Brooklyn,Williamsburg,40.70901,-73.95470999999998,11211,168,101.5,3679
15,-0.014267480170604812,1.3959860221531413,-0.45314161457169705,Brooklyn,Bedford-Stuyvesant,40.68631,-73.95575,11238,190,91.9,2388
16,-0.42525674243747164,2.4993527516098544,-0.007248261276279043,Brooklyn,Bedford-Stuyvesant,40.68777,-73.94171,11221,255,84.63333333333334,2952
17,-1.2076445582207278,1.990106568783679,0.31373170581226656,Queens,East Elmhurst,40.76001,-73.88865,11372,225,70.8,3358
18,1.2790290056783429,1.990106568783679,-0.18196888375551198,Manhattan,East Village,40.72451,-73.98094,10009,225,114.76666666666667,2731
19,1.6805919087189052,3.0085989344360295,1.59448920995868,Manhattan,East Village,40.72219000000001,-73.98409000000002,10002,285,121.86666666666666,4978
20,-0.35173114047229836,1.0564885669356912,1.4616699132323854,Queens,Ridgewood,40.70995,-73.90959000000002,11237,170,85.93333333333334,4810
21,-0.42525674243747164,0.46236802030515345,-0.007248261276279043,Brooklyn,Bedford-Stuyvesant,40.68165,-73.93267,11221,135,84.63333333333334,2952
22,0.5286908112645218,2.3975035150446193,0.5675114334857225,Brooklyn,Williamsburg,40.71932,-73.95649,11211,249,101.5,3679
23,-0.42525674243747164,1.990106568783679,-0.007248261276279043,Brooklyn,Bedford-Stuyvesant,40.68512,-73.93607,11221,225,84.63333333333334,2952
24,-0.014267480170604812,0.716991111718241,-0.45314161457169705,Brooklyn,Clinton Hill,40.68634,-73.96117,11238,150,91.9,2388
25,-0.4120598395206464,1.2262372945444162,0.3603765778768582,Brooklyn,Bedford-Stuyvesant,40.68355,-73.94129000000002,11216,180,84.86666666666666,3417
26,-0.4120598395206464,0.8018654755226036,0.3603765778768582,Brooklyn,Crown Heights,40.67722,-73.95005,11216,155,84.86666666666666,3417
27,-0.1481217811841261,0.8867398393269661,1.1976125018836803,Manhattan,East Harlem,40.79788,-73.93265,10035,160,89.53333333333333,4476
28,-0.014267480170604812,1.3790111493922688,-0.45314161457169705,Brooklyn,Crown Heights,40.6789,-73.96242,11238,189,91.9,2388
29,-1.0341995484567292,1.990106568783679,-0.7741215816602427,Queens,Astoria,40.76444,-73.9157,11103,225,73.86666666666666,1982
30,1.5128027144906895,2.2277547874358943,0.6283869444852743,Manhattan,Hell's Kitchen,40.76077,-73.99821999999998,10018,239,118.9,3756
31,-0.014267480170604812,2.4144783878054916,-0.45314161457169705,Brooklyn,Prospect Heights,40.67436,-73.96704,11238,250,91.9,2388
32,1.7333795203862092,1.4808603859575038,0.8797948990029036,Manhattan,Midtown,40.74452,-73.98163000000002,10001,195,122.8,4074
33,-0.20656520838721257,1.0904383124574362,-1.1433276029172643,Brooklyn,Sunset Park,40.6642,-73.99322,11215,172,88.5,1515
34,0.20065351018913274,1.2262372945444162,-1.2895869475265769,Brooklyn,Greenpoint,40.7324,-73.95091,11222,180,95.7,1330
35,-0.20656520838721257,1.5657347497618663,-1.1433276029172643,Brooklyn,Sunset Park,40.66293,-73.99833000000002,11215,200,88.5,1515
36,-1.2717438009595967,2.4144783878054916,0.6117845323944875,Brooklyn,Flatlands,40.62187,-73.94414,11210,250,69.66666666666667,3735
37,1.7333795203862092,1.888257332218444,0.8797948990029036,Manhattan,Midtown,40.74556,-73.98541999999998,10001,219,122.8,4074
38,-1.1039546067313801,1.5657347497618663,-0.2997669504949043,Queens,Edgemere,40.59684,-73.76873,11691,200,72.63333333333334,2582
